sample_id,source_id,split,class,augmentation_type,text,json_name,target_preview
33,5,reserved,basic_pose_control,hold_long,Медленно правую руку вверх. В конце удержи финальную позу несколько секунд.,quality_00033_src_5_hold_long.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":5.0},{""frame"":[],""duration"":3.0}]"
34,5,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: медленно правую руку вверх,quality_00034_src_5_intensity_small.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""right_shoulder_roll_joint"",""angle"":-30.1},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
35,5,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: медленно правую руку вверх,quality_00035_src_5_intensity_large.json,"[{""frame"":[{""name"":""right_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""right_shoulder_roll_joint"",""angle"":-39.2},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
36,6,reserved,basic_pose_control,original,Медленно левую руку вверх,quality_00036_src_6_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
37,6,reserved,basic_pose_control,tempo_fast,Выполни быстрее: медленно левую руку вверх,quality_00037_src_6_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":3.6}]"
38,6,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: медленно левую руку вверх,quality_00038_src_6_tempo_slow.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":7.25}]"
39,6,reserved,basic_pose_control,hold_short,Медленно левую руку вверх. В конце коротко удержи позу.,quality_00039_src_6_hold_short.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":5.0},{""frame"":[],""duration"":1.0}]"
40,6,reserved,basic_pose_control,hold_long,Медленно левую руку вверх. В конце удержи финальную позу несколько секунд.,quality_00040_src_6_hold_long.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":5.0},{""frame"":[],""duration"":3.0}]"
41,6,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: медленно левую руку вверх,quality_00041_src_6_intensity_small.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""left_shoulder_roll_joint"",""angle"":30.1},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
42,6,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: медленно левую руку вверх,quality_00042_src_6_intensity_large.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""left_shoulder_roll_joint"",""angle"":39.2},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0}],""duration"":5.0}]"
43,7,reserved,basic_pose_control,original,Медленно обе руки вверх,quality_00043_src_7_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
44,7,reserved,basic_pose_control,tempo_fast,Выполни быстрее: медленно обе руки вверх,quality_00044_src_7_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.44}]"
45,7,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: медленно обе руки вверх,quality_00045_src_7_tempo_slow.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.9}]"
46,7,reserved,basic_pose_control,hold_short,Медленно обе руки вверх. В конце коротко удержи позу.,quality_00046_src_7_hold_short.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":1.0}]"
47,7,reserved,basic_pose_control,hold_long,Медленно обе руки вверх. В конце удержи финальную позу несколько секунд.,quality_00047_src_7_hold_long.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-120.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0},{""frame"":[],""duration"":3.0}]"
48,7,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: медленно обе руки вверх,quality_00048_src_7_intensity_small.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""left_shoulder_roll_joint"",""angle"":30.1},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-103.2},{""name"":""right_shoulder_roll_joint"",""angle"":-30.1},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
49,7,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: медленно обе руки вверх,quality_00049_src_7_intensity_large.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""left_shoulder_roll_joint"",""angle"":39.2},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-134.4},{""name"":""right_shoulder_roll_joint"",""angle"":-39.2},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":2.0}]"
50,8,reserved,basic_pose_control,original,Быстро обе руки вверх,quality_00050_src_8_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
51,8,reserved,basic_pose_control,tempo_fast,Выполни быстрее: быстро обе руки вверх,quality_00051_src_8_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":0.75}]"
52,8,reserved,basic_pose_control,tempo_slow,Выполни медленнее и плавнее: быстро обе руки вверх,quality_00052_src_8_tempo_slow.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.45}]"
53,8,reserved,basic_pose_control,hold_short,Быстро обе руки вверх. В конце коротко удержи позу.,quality_00053_src_8_hold_short.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":1.0}]"
54,8,reserved,basic_pose_control,hold_long,Быстро обе руки вверх. В конце удержи финальную позу несколько секунд.,quality_00054_src_8_hold_long.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""left_shoulder_roll_joint"",""angle"":35.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-150.0},{""name"":""right_shoulder_roll_joint"",""angle"":-35.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0},{""frame"":[],""duration"":3.0}]"
55,8,reserved,basic_pose_control,intensity_small,Выполни с меньшей амплитудой: быстро обе руки вверх,quality_00055_src_8_intensity_small.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-129.0},{""name"":""left_shoulder_roll_joint"",""angle"":30.1},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-129.0},{""name"":""right_shoulder_roll_joint"",""angle"":-30.1},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
56,8,reserved,basic_pose_control,intensity_large,Выполни шире и выразительнее: быстро обе руки вверх,quality_00056_src_8_intensity_large.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-135.0},{""name"":""left_shoulder_roll_joint"",""angle"":39.2},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":70.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-135.0},{""name"":""right_shoulder_roll_joint"",""angle"":-39.2},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":70.0}],""duration"":1.0}]"
57,9,reserved,basic_pose_control,original,Вытяни обе руки прямо перед собой,quality_00057_src_9_original.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-90.0},{""name"":""left_shoulder_roll_joint"",""angle"":10.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":90.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-90.0},{""name"":""right_shoulder_roll_joint"",""angle"":-10.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":90.0}],""duration"":1.0}]"
58,9,reserved,basic_pose_control,tempo_fast,Выполни быстрее: вытяни обе руки прямо перед собой,quality_00058_src_9_tempo_fast.json,"[{""frame"":[{""name"":""left_shoulder_pitch_joint"",""angle"":-90.0},{""name"":""left_shoulder_roll_joint"",""angle"":10.0},{""name"":""left_shoulder_yaw_joint"",""angle"":0.0},{""name"":""left_elbow_joint"",""angle"":90.0},{""name"":""right_shoulder_pitch_joint"",""angle"":-90.0},{""name"":""right_shoulder_roll_joint"",""angle"":-10.0},{""name"":""right_shoulder_yaw_joint"",""angle"":0.0},{""name"":""right_elbow_joint"",""angle"":90.0}],""duration"":0.75}]"
